## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=userspace/458173f226c38b2b739fe69160c83f85e1c8b17f/workflow/QC/GCbias/0531LPHSC70220_human/gc_bias_metrics.pdf SUMMARY_OUTPUT=userspace/458173f226c38b2b739fe69160c83f85e1c8b17f/workflow/QC/GCbias/0531LPHSC70220_human/summary_metrics.txt INPUT=userspace/458173f226c38b2b739fe69160c83f85e1c8b17f/workflow/bsmap/0531LPHSC70220_human.bam OUTPUT=userspace/458173f226c38b2b739fe69160c83f85e1c8b17f/workflow/QC/GCbias/0531LPHSC70220_human/gc_bias_metrics.txt REFERENCE_SEQUENCE=inst/pdx/homo_sapiens/hg19.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 20 11:30:55 CST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133376	0	0	0	0			
All Reads	ALL	1	95527	0	0	0	0			
All Reads	ALL	2	110295	0	0	0	0			
All Reads	ALL	3	140901	0	0	0	0			
All Reads	ALL	4	151462	0	0	0	0			
All Reads	ALL	5	154134	0	0	0	0			
All Reads	ALL	6	175760	0	0	0	0			
All Reads	ALL	7	189498	0	0	0	0			
All Reads	ALL	8	217240	0	0	0	0			
All Reads	ALL	9	245839	14	16	0.011746	0.003139			
All Reads	ALL	10	290947	0	0	0	0			
All Reads	ALL	11	356003	211	11	0.122245	0.008416			
All Reads	ALL	12	465510	0	0	0	0			
All Reads	ALL	13	616229	0	0	0	0			
All Reads	ALL	14	874258	0	0	0	0			
All Reads	ALL	15	1288459	0	0	0	0			
All Reads	ALL	16	1927848	5	11	0.000535	0.000239			
All Reads	ALL	17	2893960	147	12	0.010477	0.000864			
All Reads	ALL	18	4340991	309	10	0.014682	0.000835			
All Reads	ALL	19	6407709	148	9	0.004764	0.000392			
All Reads	ALL	20	9254643	14	10	0.000312	0.000083			
All Reads	ALL	21	13017691	1023	10	0.016208	0.000507			
All Reads	ALL	22	17776043	1158	10	0.013436	0.000395			
All Reads	ALL	23	23603688	3507	9	0.030645	0.000517			
All Reads	ALL	24	30472278	2879	9	0.019487	0.000363			
All Reads	ALL	25	38221550	5173	9	0.027915	0.000388			
All Reads	ALL	26	46557641	5616	9	0.024879	0.000332			
All Reads	ALL	27	55267403	7368	9	0.027497	0.00032			
All Reads	ALL	28	64056292	8365	9	0.026934	0.000294			
