##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	F6703_372760_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24065275
Total Bases	3.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.45315688268678	40.0	40.0	40.0	40.0	40.0
2	39.62265039564269	40.0	40.0	40.0	40.0	40.0
3	39.62884363465616	40.0	40.0	40.0	40.0	40.0
4	39.68650563934965	40.0	40.0	40.0	40.0	40.0
5	39.68932455581746	40.0	40.0	40.0	40.0	40.0
6	39.659223673945135	40.0	40.0	40.0	40.0	40.0
7	39.66282288484133	40.0	40.0	40.0	40.0	40.0
8	39.64825309496775	40.0	40.0	40.0	40.0	40.0
9	39.65578078787797	40.0	40.0	40.0	40.0	40.0
10-14	39.64226297019253	40.0	40.0	40.0	40.0	40.0
15-19	39.648673701006956	40.0	40.0	40.0	40.0	40.0
20-24	39.64799534599127	40.0	40.0	40.0	40.0	40.0
25-29	39.61623176963489	40.0	40.0	40.0	40.0	40.0
30-34	39.62079198346995	40.0	40.0	40.0	40.0	40.0
35-39	39.62126901936504	40.0	40.0	40.0	40.0	40.0
40-44	39.62178606311376	40.0	40.0	40.0	40.0	40.0
45-49	39.61810440977716	40.0	40.0	40.0	40.0	40.0
50-54	39.59920920080905	40.0	40.0	40.0	40.0	40.0
55-59	39.59546752738125	40.0	40.0	40.0	40.0	40.0
60-64	39.59015705409558	40.0	40.0	40.0	40.0	40.0
65-69	39.56734303680303	40.0	40.0	40.0	40.0	40.0
70-74	39.56522868739294	40.0	40.0	40.0	40.0	40.0
75-79	39.50567585868019	40.0	40.0	40.0	40.0	40.0
80-84	39.49974711695587	40.0	40.0	40.0	40.0	40.0
85-89	39.48541566219376	40.0	40.0	40.0	40.0	40.0
90-94	39.48733111921638	40.0	40.0	40.0	40.0	40.0
95-99	39.453903834466885	40.0	40.0	40.0	40.0	40.0
100-104	39.43868919844049	40.0	40.0	40.0	40.0	40.0
105-109	39.41775360555822	40.0	40.0	40.0	40.0	40.0
110-114	39.40802617879912	40.0	40.0	40.0	40.0	40.0
115-119	39.362432999415134	40.0	40.0	40.0	40.0	40.0
120-124	39.37344767512526	40.0	40.0	40.0	40.0	40.0
125-129	39.34347512754373	40.0	40.0	40.0	40.0	40.0
130-134	39.30050965135449	40.0	40.0	40.0	40.0	40.0
135-139	39.293799900479016	40.0	40.0	40.0	40.0	40.0
140-144	39.26889804500468	40.0	40.0	40.0	40.0	40.0
145-149	39.24847181675672	40.0	40.0	40.0	40.0	40.0
150	39.25846856102829	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.12699101788378897
1101	2	-0.021053840917190314
1101	3	-0.04082735254705483
1101	4	-0.049983432815480455
1101	5	-0.11961613642051105
1101	6	-0.05528120343856102
1101	7	-0.08500494025599892
1101	8	-0.06079272214327602
1101	9	-0.045145583290484126
1101	10-14	-0.0634066523637884
1101	15-19	-0.04240713556811215
1101	20-24	-0.05763216877790711
1101	25-29	-0.10784031373611924
1101	30-34	-0.08948396871254971
1101	35-39	-0.07199080753145637
1101	40-44	-0.060055411916899004
1101	45-49	-0.09872800421545236
1101	50-54	-0.09153048296364119
1101	55-59	-0.05980002274469598
1101	60-64	-0.10372272519081349
1101	65-69	-0.09105473737640324
1101	70-74	-0.09547268339952808
1101	75-79	-0.04161517656647362
1101	80-84	-0.11122724609401047
1101	85-89	-0.14485148708157425
1101	90-94	-0.11572775868186369
1101	95-99	-0.12786659001789502
1101	100-104	-0.1789497902864241
1101	105-109	-0.17857214667603927
1101	110-114	-0.2350302408059619
1101	115-119	-0.19704908708143876
1101	120-124	-0.20795126371633899
1101	125-129	-0.1883124015125972
1101	130-134	-0.1925130736566203
1101	135-139	-0.20008773108237676
1101	140-144	-0.2073136129745521
1101	145-149	-0.1746835423745594
1101	150	-0.24793745311813353
1102	1	-0.12592876704590594
1102	2	-0.11753723189632126
1102	3	-0.023638930728026253
1102	4	-0.0793068280955751
1102	5	-0.09000529520601219
1102	6	-0.012862999874748482
1102	7	-0.05574517660113543
1102	8	-0.01412053316806805
1102	9	0.0065120709980774905
1102	10-14	-0.04089515815260114
1102	15-19	-0.034659124371714256
1102	20-24	-0.03056792953056231
1102	25-29	-0.07058906120528263
1102	30-34	-0.047957654765212965
1102	35-39	-0.05361636537239178
1102	40-44	-0.036416685671945004
1102	45-49	-0.011595561199335691
1102	50-54	-0.08198853922245064
1102	55-59	-0.053085013280359306
1102	60-64	-0.09859650092055006
1102	65-69	-0.07882939313340387
1102	70-74	-0.04772714431385339
1102	75-79	-0.0921322166301195
1102	80-84	-0.1431001442875086
1102	85-89	-0.08474270790381411
1102	90-94	-0.5302737337923773
1102	95-99	-0.0987411149485311
1102	100-104	-0.15440831479579487
1102	105-109	-0.14032889665767811
1102	110-114	-0.13572040744956126
1102	115-119	-0.09973275875864829
1102	120-124	-0.16370836496471952
1102	125-129	-0.13107264555785747
1102	130-134	-0.1311778879219574
1102	135-139	-0.16526084977932243
1102	140-144	-0.1414568232310387
1102	145-149	-0.16444981124371338
1102	150	-0.19411436858614195
1103	1	0.05458164695369305
1103	2	-0.013866798187962104
1103	3	0.04029729120224346
1103	4	-0.03228865447221807
1103	5	-0.010632810011628635
1103	6	-0.016131551681525025
1103	7	-0.008783031955061915
1103	8	0.041517677912644047
1103	9	0.012507244616685398
1103	10-14	-0.004624106956704566
1103	15-19	-0.01183592866732397
1103	20-24	0.0250454349754321
