#Duplication rate	Coverage
1.0	4091018.0
2.0	1675166.0
3.0	813536.0
4.0	451327.0
5.0	278000.0
6.0	186901.0
7.0	132243.0
8.0	98638.0
9.0	76376.0
10.0	61029.0
11.0	48953.0
12.0	40410.0
13.0	34186.0
14.0	29140.0
15.0	25335.0
16.0	21828.0
17.0	19010.0
18.0	17107.0
19.0	15093.0
20.0	13483.0
21.0	12264.0
22.0	11183.0
23.0	10031.0
24.0	9230.0
25.0	8500.0
26.0	7976.0
27.0	7155.0
28.0	6560.0
29.0	6384.0
30.0	5912.0
31.0	5602.0
32.0	5087.0
33.0	4858.0
34.0	4583.0
35.0	4266.0
36.0	4052.0
37.0	3886.0
38.0	3652.0
39.0	3461.0
40.0	3243.0
41.0	3205.0
42.0	2954.0
43.0	2923.0
44.0	2770.0
45.0	2647.0
46.0	2486.0
47.0	2418.0
48.0	2315.0
49.0	2203.0
50.0	105605.0
