#Position (bp)	insert size
4124013.5	3955.4210917864684
1.23720395E7	3314.281325531562
2.06200655E7	7561.006695826429
2.88680915E7	2701.726859703581
3.71161175E7	2643.910663564801
4.53641435E7	2877.00978520928
5.36121695E7	7811.161768611136
6.18601955E7	5515.5940534887195
7.01082215E7	3751.688059858784
7.83562475E7	7068.679306608884
8.66042735E7	5084.370878639074
9.48522995E7	4378.414369381132
1.031003255E8	3663.0640625
1.113483515E8	3640.642614312426
1.195963775E8	4204.50440374668
1.278444035E8	135621.0
1.360924295E8	0.0
1.443404555E8	1336.4039616672017
1.525884815E8	1816.7378694661265
1.608365075E8	3418.902034216997
1.690845335E8	4145.165740928441
1.773325595E8	6637.803807419368
1.855805855E8	2668.7296351294017
1.938286115E8	1254.9676919243652
2.020766375E8	1997.8742313004288
2.103246635E8	3076.2698544335567
2.185726895E8	3457.6167512690354
2.268207155E8	3499.891073653654
2.350687415E8	3852.1819865857556
2.433167675E8	5421.503051065197
2.481986015E8	3887.5514642549524
2.523226145E8	2796.5759415833973
2.598128195E8	6959.9519898544595
2.680608455E8	5122.106515771482
2.763088715E8	8452.00392413342
2.845568975E8	8632.036154478224
2.928049235E8	3113.8174894858485
3.010529495E8	6881.2290590613065
3.093009755E8	3904.254968619247
3.175490015E8	5067.197370149161
3.257970275E8	7073.792670709201
3.340450535E8	5341.386625559715
3.422930795E8	2066.8074284362433
3.505411055E8	3189.1884949942555
3.587891315E8	4578.994102094774
3.670371575E8	4152.553639338463
3.752851835E8	9606.216836734693
3.810815205E8	2636.3303231939162
3.852055335E8	3048.6734470628903
3.917812355E8	1709.726034308779
4.000292615E8	5624.940850776502
4.082772875E8	2893.7441193344807
4.165253135E8	5842.501483994064
4.247733395E8	6435.724345019143
4.330213655E8	5254.202911443591
4.412693915E8	1994.356107775252
4.495174175E8	2063.9806535907046
4.577654435E8	3697.256125238834
4.660134695E8	7810.563217253661
4.742614955E8	4166.18527339486
4.825095215E8	2269.307767898924
4.907575475E8	3932.200974216847
4.990055735E8	2670.0052864613153
5.072535995E8	2072.6705172033526
5.146090395E8	5166.287323780911
5.178906245E8	4921.617753623188
5.187832105E8	4439.878680102746
5.237496515E8	1487.660977009139
5.319976775E8	5799.573824948518
5.402457035E8	5046.704214789261
5.484937295E8	4688.516624594302
5.567417555E8	7181.507307773777
5.649897815E8	2083.954520941938
5.732378075E8	2253.104639619027
5.814858335E8	5938.6455779465405
5.897338595E8	4314.714721571752
5.979818855E8	6542.801677910396
6.062299115E8	872.1570454687597
6.144779375E8	4140.982595906361
6.227259635E8	3275.791508848516
6.309739895E8	4146.0129526752025
6.392220155E8	2008.5643983427226
6.4728106E8	4671.319906457309
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.0
6.722141195E8	7208.587166209768
6.804621455E8	5569.703321786837
6.887101715E8	4015.1338688085675
6.969581975E8	3356.506713868785
7.052062235E8	3448.1686161324624
7.134542495E8	17440.06167400881
7.217022755E8	8212.43811394892
7.299503015E8	4137.542792400209
7.381983275E8	8319.333333333334
7.464463535E8	11345.654189772027
7.546943795E8	6253.805035405193
7.62199406E8	4916.909716113554
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.0
7.876864835E8	3015.271578505213
7.959345095E8	6588.465919701214
8.041825355E8	5579.333136304528
8.124305615E8	3046.6200533379215
8.206785875E8	5445.0965480331815
8.289266135E8	4859.82096069869
8.371746395E8	3324.56601137038
8.454226655E8	4193.487979755378
8.536706915E8	4176.663295036007
8.619187175E8	5371.045232641106
8.69333434E8	127658.56715661046
8.72724992E8	0.0
8.72931433E8	280.0
8.731340445E8	0.0
8.73326804E8	8554.320512820514
8.73441596E8	0.0
8.73480431E8	0.0
