#Mapping quality	mapping quality
0.0	1852406.0
1.0	1284480.0
2.0	265704.0
3.0	6439130.0
4.0	13831.0
5.0	12110.0
6.0	10384.0
7.0	11176.0
8.0	10532.0
9.0	9885.0
10.0	9742.0
11.0	9592.0
12.0	9035.0
13.0	8703.0
14.0	6720.0
15.0	8686.0
16.0	7224.0
17.0	9259.0
18.0	7492.0
19.0	7981.0
20.0	5404.0
21.0	8314.0
22.0	7630.0
23.0	5416.0
24.0	9245.0
25.0	9924.0
26.0	4503.0
27.0	5144.0
28.0	9322.0
29.0	6195.0
30.0	4504.0
31.0	10901.0
32.0	6489.0
33.0	4371.0
34.0	12626.0
35.0	3751.0
36.0	6139.0
37.0	6305.0
38.0	4029.0
39.0	14468.0
40.0	3889.0
41.0	4987.0
42.0	5447.0
43.0	6746.0
44.0	4517.0
45.0	17488.0
46.0	3607.0
47.0	3951.0
48.0	6462.0
49.0	2499.0
50.0	3355.0
51.0	9667.0
52.0	5384.0
53.0	25896.0
54.0	2456.0
55.0	2863.0
56.0	3794.0
57.0	5362.0
58.0	3094.0
59.0	8049.0
60.0	2761.0
61.0	4351.0
62.0	3294.0
63.0	5882.0
64.0	10642.0
65.0	7169.0
66.0	37983.0
67.0	1950.0
68.0	2690.0
69.0	3085.0
70.0	3752.0
71.0	5078.0
72.0	2694.0
73.0	4793.0
74.0	3029.0
75.0	9984.0
76.0	2485.0
77.0	3479.0
78.0	5899.0
79.0	2682.0
80.0	3844.0
81.0	3117.0
82.0	2286.0
83.0	2405.0
84.0	1863.0
85.0	24403.0
86.0	9502.0
87.0	78781.0
88.0	1551.0
89.0	2155.0
90.0	2348.0
91.0	3429.0
92.0	1944.0
93.0	3884.0
94.0	4459.0
95.0	2640.0
96.0	3070.0
97.0	7250.0
98.0	2170.0
99.0	3799.0
100.0	1871.0
101.0	2490.0
102.0	7228.0
103.0	25882.0
104.0	1261.0
105.0	1958.0
106.0	3067.0
107.0	2098.0
108.0	3680.0
109.0	4211.0
110.0	2980.0
111.0	10402.0
112.0	2302.0
113.0	3348.0
114.0	2471.0
115.0	6257.0
116.0	2590.0
117.0	4248.0
118.0	2393.0
119.0	3288.0
120.0	3034.0
121.0	2461.0
122.0	2372.0
123.0	2709.0
124.0	1936.0
125.0	1757.0
126.0	1480.0
127.0	17913.0
128.0	46032.0
129.0	246338.0
130.0	1180.0
131.0	1772.0
132.0	1831.0
133.0	2037.0
134.0	2343.0
135.0	2879.0
136.0	3223.0
137.0	3390.0
138.0	3792.0
139.0	3002.0
140.0	4848.0
141.0	2752.0
142.0	3209.0
143.0	7067.0
144.0	3081.0
145.0	2671.0
146.0	4548.0
147.0	11884.0
148.0	2540.0
149.0	2575.0
150.0	4162.0
151.0	3355.0
152.0	1973.0
153.0	9559.0
154.0	34821.0
155.0	2104.0
156.0	2516.0
157.0	3307.0
158.0	3841.0
159.0	4409.0
160.0	10560.0
161.0	2439.0
162.0	3124.0
163.0	6194.0
164.0	2675.0
165.0	3829.0
166.0	3600.0
167.0	2646.0
168.0	2471.0
169.0	1518.0
170.0	28002.0
171.0	152948.0
172.0	2171.0
173.0	2523.0
174.0	3707.0
175.0	3456.0
176.0	4118.0
177.0	5586.0
178.0	3847.0
179.0	8664.0
180.0	4536.0
181.0	2908.0
182.0	6681.0
183.0	23115.0
184.0	3270.0
185.0	4839.0
186.0	7396.0
187.0	6106.0
188.0	3975.0
189.0	4008.0
190.0	2564.0
191.0	17508.0
192.0	103890.0
193.0	3248.0
194.0	3786.0
195.0	6579.0
196.0	7734.0
197.0	4057.0
198.0	5886.0
199.0	18053.0
200.0	4486.0
201.0	8907.0
202.0	4327.0
203.0	3600.0
204.0	91744.0
205.0	3152.0
206.0	5100.0
207.0	8663.0
208.0	5854.0
209.0	15517.0
210.0	7538.0
211.0	6025.0
212.0	10609.0
213.0	62205.0
214.0	6124.0
215.0	7771.0
216.0	14692.0
217.0	7860.0
218.0	9552.0
219.0	58698.0
220.0	8973.0
221.0	14010.0
222.0	8653.0
223.0	52318.0
224.0	8161.0
225.0	15301.0
226.0	9199.0
227.0	47817.0
228.0	17272.0
229.0	47049.0
230.0	9580.0
231.0	17855.0
232.0	44453.0
233.0	17616.0
234.0	48238.0
235.0	41959.0
236.0	18527.0
237.0	45777.0
238.0	45716.0
239.0	46335.0
240.0	47037.0
241.0	68507.0
242.0	49748.0
243.0	73364.0
244.0	86223.0
245.0	73140.0
246.0	103712.0
247.0	109276.0
248.0	137871.0
249.0	173098.0
250.0	199103.0
251.0	253647.0
252.0	353085.0
253.0	494011.0
254.0	646651.0
255.0	1.14273521E8
